    Phase shift (BFGS) in radians  Phase shift (BFGS) in degrees
44                        4.459055                      255.485011
45                        0.310207                       17.773552
46                        2.464658                      141.214515
47                        4.627955                      265.162306
48                        2.586873                      148.216917
49                        4.727941                      270.891036
50                        0.578840                       33.165102
51                        2.713824                      155.490640
52                        4.840257                      277.326278
53                        0.703150                       40.287527
54                        2.840727                      162.761646
55                        4.980861                      285.382332
56                        2.853649                      163.502021
57                        5.056851                      289.736195
58                        0.964086                       55.238055
59                        3.162141                      181.177347
60                        5.348818                      306.464674
61                        1.250654                       71.657196
62                        3.419653                      195.931688
63                        5.581300                      319.784955
Optimized max data rate (SLSQP): 16.366032197791423
    Phase shift (BFGS) in radians  Phase shift (BFGS) in degrees
0                       -1.344484                     -77.033264
1                        0.849562                      48.676316
2                       -3.281150                    -187.996042
3                       -1.088853                     -62.386667
4                        1.101018                      63.083702
5                       -2.996030                    -171.659865
6                       -0.838466                     -48.040541
7                        1.333825                      76.422517
8                       -1.469177                     -84.177633
9                        0.701890                      40.215312
10                       2.896885                     165.979291
11                      -1.226253                     -70.259113
12                       0.947745                      54.301771
13                      -3.170137                    -181.635454
14                      -0.979168                     -56.102176
15                       1.193492                      68.382035
16                      -1.581018                     -90.585680
17                       0.585315                      33.536072
18                       2.756976                     157.963073
19                      -1.359182                     -77.875396
20                       0.813649                      46.618673
21                       2.968997                     170.111019
22                      -1.117272                     -64.014948
23                       1.060518                      60.763219
24                      -1.635957                     -93.733449
25                       0.512881                      29.385912
26                       2.669553                     152.954100
27                      -1.455892                     -83.416479
28                       0.709020                      40.623872
29                       2.879666                     164.992720
30                      -1.231243                     -70.545053
31                       0.947219                      54.271655
32                      -1.601079                     -91.735079
33                       0.528216                      30.264540
34                       2.658004                     152.292395
35                      -1.482960                     -84.967365
36                       0.670415                      38.411950
37                       2.817837                     161.450172
38                      -1.290482                     -73.939144
39                       0.885671                      50.745206
40                      -1.417274                     -81.203841
41                       0.690378                      39.555736
42                       2.806208                     160.783903
43                      -1.362741                     -78.079290
44                       0.766228                      43.901644
45                       2.920549                     167.335130
46                      -1.226563                     -70.276856
47                       0.937748                      53.728987
48                      -1.105006                     -63.312180
49                       1.031358                      59.092469
50                      -3.044988                    -174.464985
51                      -0.986293                     -56.510415
52                       1.144900                      65.597929
53                      -2.975695                    -170.494741
54                      -0.869242                     -49.803894
55                       1.278726                      73.265618
56                      -0.837303                     -47.973903
57                       1.361996                      78.036644
58                      -2.727461                    -156.272011
59                      -0.531801                     -30.469934
60                       1.654699                      94.807290
61                      -2.456396                    -140.741127
62                      -0.278325                     -15.946836
63                       1.886716                     108.100877
Optimized max data rate (BFGS): 16.365971829459323
    Phase shift (SLSQP) in radians  Phase shift (SLSQP) in degrees
0                     1.994721e+00                    1.142891e+02
1                     4.199000e+00                    2.405850e+02
2                     2.810076e-02                    1.610055e+00
3                     2.311859e+00                    1.324597e+02
4                     4.439468e+00                    2.543628e+02
5                     4.519940e-01                    2.589735e+01
6                     2.638885e+00                    1.511970e+02
7                     4.751680e+00                    2.722512e+02
8                     1.875022e+00                    1.074308e+02
9                     4.183539e+00                    2.396991e+02
10                    0.000000e+00                    0.000000e+00
11                    2.145930e+00                    1.229528e+02
12                    4.386893e+00                    2.513504e+02
13                    1.980583e-01                    1.134790e+01
14                    2.444058e+00                    1.400342e+02
15                    4.649988e+00                    2.664247e+02
16                    1.798482e+00                    1.030454e+02
17                    4.010556e+00                    2.297879e+02
18                    4.162723e-18                    2.385065e-16
19                    2.020153e+00                    1.157462e+02
20                    4.277737e+00                    2.450963e+02
21                    6.882626e-03                    3.943454e-01
22                    2.277346e+00                    1.304823e+02
23                    4.534292e+00                    2.597958e+02
24                    1.782200e+00                    1.021126e+02
25                    3.816312e+00                    2.186586e+02
26                    0.000000e+00                    0.000000e+00
27                    1.949234e+00                    1.116829e+02
28                    4.039882e+00                    2.314682e+02
29                    4.335762e-19                    2.484208e-17
30                    2.164277e+00                    1.240039e+02
31                    4.300864e+00                    2.464214e+02
32                    1.825925e+00                    1.046178e+02
33                    3.901658e+00                    2.235485e+02
34                    1.684160e-17                    9.649524e-16
35                    1.943736e+00                    1.113679e+02
36                    4.007662e+00                    2.296221e+02
37                    0.000000e+00                    0.000000e+00
38                    2.128152e+00                    1.219341e+02
39                    4.196450e+00                    2.404389e+02
40                    1.970783e+00                    1.129176e+02
41                    4.242437e+00                    2.430737e+02
42                    5.427228e-19                    3.109573e-17
43                    2.017794e+00                    1.156111e+02
44                    4.330449e+00                    2.481165e+02
45                    7.456448e-20                    4.272230e-18
46                    2.172823e+00                    1.244936e+02
47                    4.493113e+00                    2.574364e+02
48                    2.287245e+00                    1.310495e+02
49                    4.655250e+00                    2.667262e+02
50                    1.130103e-01                    6.475013e+00
51                    2.336789e+00                    1.338882e+02
52                    4.645516e+00                    2.661685e+02
53                    1.736754e-01                    9.950868e+00
54                    2.411104e+00                    1.381461e+02
55                    4.653598e+00                    2.666315e+02
56                    2.601505e+00                    1.490553e+02
57                    5.003035e+00                    2.866528e+02
58                    4.849919e-01                    2.778799e+01
59                    2.909878e+00                    1.667237e+02
60                    5.049689e+00                    2.893259e+02
61                    7.273307e-01                    4.167298e+01
62                    3.102806e+00                    1.777777e+02
63                    2.437904e+00                    1.396816e+02
Optimized max data rate (SLSQP): 16.339709742538442
