    Phase shift (BFGS) in radians  Phase shift (BFGS) in degrees
0                       -1.338640                     -76.698446
1                        0.840537                      48.159240
2                       -3.263222                    -186.968827
3                       -1.084588                     -62.142297
4                        1.093017                      62.625267
5                       -3.013567                    -172.664652
6                       -0.838835                     -48.061688
7                        1.334159                      76.441671
8                       -1.471152                     -84.290819
9                        0.703380                      40.300694
10                       2.878997                     164.954350
11                      -1.227906                     -70.353831
12                       0.948868                      54.366149
13                      -3.157488                    -180.910728
14                      -0.980643                     -56.186725
15                       1.195821                      68.515484
16                      -1.578691                     -90.452338
17                       0.586668                      33.613572
18                       2.754805                     157.838719
19                      -1.357862                     -77.799739
20                       0.815181                      46.706422
21                       2.990126                     171.321618
22                      -1.116406                     -63.965380
23                       1.062011                      60.848755
24                      -1.635781                     -93.723360
25                       0.513432                      29.417504
26                       2.668249                     152.879429
27                      -1.454918                     -83.360661
28                       0.709992                      40.679573
29                       2.879594                     164.988596
30                      -1.229787                     -70.461578
31                       0.948201                      54.327916
32                      -1.600995                     -91.730268
33                       0.524488                      30.050922
34                       2.657923                     152.287773
35                      -1.483219                     -84.982206
36                       0.667159                      38.225373
37                       2.825367                     161.881593
38                      -1.291150                     -73.977443
39                       0.882925                      50.587876
40                      -1.417059                     -81.191517
41                       0.690136                      39.541908
42                       2.802109                     160.548998
43                      -1.362073                     -78.041022
44                       0.766489                      43.916605
45                       2.905930                     166.497502
46                      -1.226194                     -70.255764
47                       0.936529                      53.659186
48                      -1.103402                     -63.220277
49                       1.036458                      59.384657
50                      -3.111118                    -178.253955
51                      -0.978072                     -56.039381
52                       1.153939                      66.115854
53                      -2.995468                    -171.627695
54                      -0.857485                     -49.130256
55                       1.287521                      73.769517
56                      -0.837579                     -47.989734
57                       1.362717                      78.077940
58                      -2.722272                    -155.974689
59                      -0.527868                     -30.244594
60                       1.660764                      95.154778
61                      -2.441578                    -139.892113
62                      -0.269967                     -15.467951
63                       1.891236                     108.359860
Optimized max data rate (BFGS): 16.36603591293293
    Phase shift (SLSQP) in radians  Phase shift (SLSQP) in degrees
0                         2.352268                      134.775016
1                         4.530417                      259.573763
2                         0.430320                       24.655548
3                         2.605312                      149.273364
4                         4.781667                      273.969340
5                         0.676295                       38.748828
6                         2.853344                      163.484553
7                         5.024366                      287.874956
8                         2.216584                      127.000891
9                         4.397476                      251.956799
10                        0.286986                       16.443064
11                        2.460954                      141.002296
12                        4.640901                      265.904062
13                        0.532064                       30.485026
14                        2.710594                      155.305623
15                        4.889235                      280.132540
16                        2.113620                      121.101497
17                        4.271101                      244.716048
18                        0.160597                        9.201543
19                        2.332939                      133.667532
20                        4.503146                      258.011242
21                        0.396300                       22.706293
22                        2.573176                      147.432118
23                        4.751129                      272.219662
24                        2.052105                      117.576968
25                        4.209007                      241.158357
26                        0.073850                        4.231268
27                        2.234467                      128.025528
28                        4.402147                      252.224441
29                        0.288719                       16.542393
30                        2.460065                      140.951347
31                        4.637982                      265.736804
32                        2.088956                      119.688335
33                        4.210145                      241.223530
34                        0.065437                        3.749268
35                        2.205520                      126.367011
36                        4.355028                      249.524741
37                        0.232546                       13.323897
38                        2.396808                      137.326995
39                        4.573497                      262.042054
40                        2.273757                      130.276693
41                        4.382308                      251.087743
42                        0.207362                       11.880952
43                        2.328302                      133.401864
