    Phase shift (BFGS) in radians  Phase shift (BFGS) in degrees
0                        0.506436                      29.016664
1                        2.137561                     122.473250
2                       -2.525141                    -144.679935
3                       -0.913052                     -52.314037
4                        0.695738                      39.862840
5                        2.306256                     132.138762
6                       -2.359482                    -135.188372
7                       -0.731091                     -41.888425
8                        0.535023                      30.654571
9                        2.180296                     124.921755
10                      -2.469858                    -141.512430
11                      -0.848281                     -48.602893
12                       0.763908                      43.768724
13                       2.370959                     135.845942
14                      -2.304824                    -132.056677
15                      -0.691334                     -39.610549
16                       0.542759                      31.097778
17                       2.202089                     126.170425
18                      -2.433029                    -139.402291
19                      -0.797135                     -45.672485
20                       0.826654                      47.363773
21                       2.440317                     139.819857
22                      -2.235681                    -128.095101
23                      -0.629328                     -36.057865
24                       0.532224                      30.494216
25                       2.203786                     126.267662
26                      -2.417082                    -138.488574
27                      -0.765630                     -43.867368
28                       0.873830                      50.066776
29                       2.501235                     143.310194
30                      -2.165305                    -124.062823
31                      -0.555957                     -31.854011
32                       0.506927                      29.044805
33                       2.188368                     125.384230
34                      -2.420393                    -138.678307
35                      -0.754596                     -43.235163
36                       0.900832                      51.613843
37                       2.544757                     145.803821
38                      -2.106332                    -120.683941
39                      -0.485236                     -27.801992
40                       0.470445                      26.954515
41                       2.159481                     123.729173
42                      -2.439635                    -139.780789
43                      -0.761900                     -43.653670
44                       0.907648                      52.004378
45                       2.567595                     147.112364
46                      -2.066496                    -118.401500
47                      -0.428944                     -24.576663
48                       0.426210                      24.420030
49                       2.120673                     121.505611
50                      -2.471204                    -141.589557
51                      -0.784285                     -44.936206
52                       0.896751                      51.380050
53                       2.570491                     147.278293
54                      -2.047858                    -117.333648
55                      -0.393237                     -22.530805
56                       0.377553                      21.632205
57                       2.075210                     118.900752
58                      -2.511702                    -143.909932
59                      -0.818292                     -46.884652
60                       0.871529                      49.934909
61                       2.556244                     146.462010
62                      -2.048877                    -117.392022
63                      -0.379078                     -21.719598
Optimized max data rate (BFGS): 16.544000054646702
    Phase shift (SLSQP) in radians  Phase shift (SLSQP) in degrees
0                         3.023053                      173.208176
1                         4.654056                      266.657788
2                         0.000000                        0.000000
3                         1.603477                       91.872441
4                         3.212957                      184.088854
5                         4.822886                      276.331030
6                         0.158574                        9.085609
7                         1.785694                      102.312706
8                         3.051275                      174.825162
9                         4.696982                      269.117268
10                        0.041344                        2.368861
11                        1.668440                       95.594578
12                        3.281112                      187.993888
13                        4.887685                      280.043729
14                        0.212686                       12.186009
15                        1.825340                      104.584276
16                        3.059346                      175.287590
17                        4.719115                      270.385349
18                        0.085451                        4.895971
19                        1.719739                       98.533787
20                        3.343714                      191.580684
21                        4.956932                      284.011279
22                        0.281145                       16.108425
23                        1.887323                      108.135635
24                        3.049535                      174.725483
25                        4.720607                      270.470844
26                        0.099579                        5.705469
27                        1.751020                      100.326049
28                        3.390574                      194.265608
29                        5.017537                      287.483684
30                        0.350462                       20.079980
31                        1.960778                      112.344287
32                        3.024370                      173.283659
33                        4.704452                      269.545226
34                        0.094357                        5.406264
35                        1.761488                      100.925824
36                        3.417395                      195.802293
37                        5.061071                      289.977996
38                        0.409225                       23.446858
39                        2.031576                      116.400712
40                        2.986932                      171.138571
41                        4.675244                      267.871729
42                        0.077368                        4.432876
43                        1.754028                      100.498404
44                        3.424468                      196.207586
45                        5.084772                      291.335970
46                        0.450266                       25.798318
47                        2.087725                      119.617851
48                        2.941463                      168.533393
49                        4.636936                      265.676869
50                        0.048584                        2.783680
51                        1.732784                       99.281225
52                        3.414360                      195.628412
53                        5.087905                      291.515503
54                        0.470058                       26.932313
55                        2.123077                      121.643360
56                        2.892570                      165.732049
57                        4.592406                      263.125503
58                        0.000043                        0.002447
59                        1.701488                       97.488075
60                        3.390212                      194.244830
61                        5.071972                      290.602590
62                        0.468322                       26.832881
63                        2.137152                      122.449814
Optimized max data rate (SLSQP): 16.543998086711944
